"Akismet API Key","Klucz do API Akismeta"
"Your server is running PHP version %s but WordPress %s requires at least %s.","Twój serwer korzysta z PHP w wersji %s, lecz WordPress %s wymaga co najmniej wersji %s."
"A new trackback on the post \"%s\" is waiting for your approval","Nowy trackback do wpisu pt. &#8222;%s&#8221; oczekuje na zatwierdzenie"
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Jeśli jesteś właścicielem tej sieci, upewnij się, czy MySQL działa prawidłowo i czy wszystkie tabele w bazie danych są wolne od błędów."
"If your site does not display, please contact the owner of this network.","Jeśli Twoja witryna nie jest wyświetlana, skontaktuj się z właścicielem tej sieci."
"One Response to %s","Jedna odpowiedź na &#8222;%s&#8221;"
"%s Responses to %s","%s odpowiedzi na &#8222;%s&#8221;"
"user","użytkownik"
"none","brak"
"all","wszystkie"
"Custom Menu","Własne menu"
"Use this widget to add one of your custom menus as a widget.","Użyj tego widgetu, aby wyświetlić jedno z własnych menu w panelu bocznym"
"New pingback on your post \"%s\"","Nowy pingback do Twojego wpisu pt. &#8222;%s&#8221;"
"A new pingback on the post \"%s\" is waiting for your approval","Nowy pingback do wpisu pt. &#8222;%s&#8221; oczekuje na zatwierdzenie"
"A new comment on the post \"%s\" is waiting for your approval","Nowy komentarz do wpisu pt. „%s” oczekuje na zatwierdzenie"
"New trackback on your post \"%s\"","Nowy trackback do Twojego wpisu pt. &#8222;%s&#8221;"
"New comment on your post \"%s\"","Nowy komentarz do Twojego wpisu pt. &#8222;%s&#8221;"
"A term with the name provided already exists.","Istnieje już pozycja o takiej nazwie."
"XHTML Friends Network","XHTML Friends Network (ang. &#8222;sieć przyjaciół XHTML&#8221;)"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","Poprawny <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"%s and %s.","%s oraz %s."
"F, Y","F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Przeglądasz archiwa blogu &#8222;<a href=\"%s/\">%s</a>&#8221;."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Przeglądasz archiwa blogu <a href=\"%s/\">%s</a> z %s."
"Comments are closed.","Możliwość komentowania jest wyłączona."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Przeglądasz archiwa blogu <a href=\"%s/\">%s</a> z roku %s."
"Logged in as <a href=\"%s\">%s</a>.","Zalogowano się jako <a href=\"%s\">%s</a>."
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Zalogowano się jako <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Wyloguj się z tego konta\">Wyloguj się &raquo;</a>"
"Submit Comment","Wyślij komentarz"
"%s is proudly powered by %s","Witryna %s jest dumnie wspierana przez WordPressa"
"Your Comment","Twój komentarz"
"Say It!","Dodaj go!"
"Close this window.","Zamknij to okno."
"Sorry, no posts matched your criteria.","Przepraszamy, brak wpisów spełniających podane kryteria."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Ta witryna oparta jest na <a href=\"%s\" title=\"WordPress &mdash; nowoczesna, semantyczna, osobista platforma publikacyjna\"><strong>WordPressie</strong></a>"
"Log out of this account","Wyloguj się z tego konta"
"Log out &raquo;","Wyloguj się &raquo;"
"Mail (will not be published)","E-mail (nie zostanie opublikowany)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Możesz użyć następujących tagów: <code>%s</code>"
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Przeszukano archiwa blogu <a href=\"%s/\">&#8222;%s&#8221;</a> w poszukiwaniu tekstu <strong>&#8216;%s&#8217;</strong>. Jeśli nie potrafisz znaleźć interesujących Cię treści pośród tych wyników wyszukiwania, możesz spróbować odwiedzić któryś z poniższych odnośników."
"l, F jS, Y","l, j F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Przeglądasz archiwa blogu <a href=\"%s/\">%s</a> z dnia %s."
"You are currently browsing the archives for the %s category.","Przeglądasz archiwa kategorii &#8222;%s&#8221;."
"%d queries. %s seconds.","%d zapytań, %s sekund."
"Comments (RSS)","Komentarze (RSS)"
"Entries (RSS)","Wpisy (RSS)"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Łamanie linii i tworzenie akapitów dokonywanie jest automatycznie. Adres e-mail nigdy nie jest wyświetlany. Dozwolone jest korzystanie z następujących tagów <acronym title=\"Hypertext Markup Language\">HTML</acronym>-a: <code>%s</code>"
"This post is password protected. Enter the password to view comments.","Ten wpis jest zabezpieczony hasłem. Wprowadź je, aby zobaczyć komentarze."
"This page validates as XHTML 1.0 Transitional","Ta strona jest zgodna ze standardem &#8222;XHTML 1.0 Transitional&#8221;"
"Sorry, the comment form is closed at this time.","Przepraszamy, możliwość dodawania komentarzy jest obecnie wyłączona."
"%s - Comments on %s","%s - Komentarze do &#8222;%s&#8221;"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","Kanał <abbr title=\"Really Simple Syndication\">RSS</abbr> z komentarzami do tego wpisu."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","Adres <abbr title=\"Universal Resource Locator\">URL</abbr> do wysyłania trackbacków do tego wpisu: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","autor: %s &#8212; %s o <a href=\"#comment-%s\">%s</a>"
"Leave a comment","Dodaj komentarz"
"Old","Stare"
"Date Created","Data utworzenia"
"Choose from the most used tags","Wybierz spośród najpopularniejszych tagów"
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","Możesz użyć następujących tagów oraz atrybutów <abbr title=\"HyperText Markup Language\">HTML</abbr>-a: %s"
"Category","kategoria"
"Search Tags","Szukaj tagów"
"Popular Tags","Popularne tagi"
"New Category Name","Nazwa nowej kategorii"
"New Tag Name","Nazwa nowego tagu"
"Add New Category","Dodaj nową kategorię"
"Add New Tag","Dodaj nowy tag"
"Update Tag","Zaktualizuj tag"
"Parent Category:","Kategoria nadrzędna:"
"Parent Category","Kategoria nadrzędna"
"All Tags","Wszystkie tagi"
"Categories","kategorie"
"Sorry, new registrations are not allowed at this time.","Przepraszamy, w tej chwili nie można się rejestrować."
"Check your inbox at <strong>%s</strong> and click the link given.","Sprawdź, czy doszedł już na adres <strong>%s</strong> aktywacyjny e-mail i kliknij zawarty w nim odnośnik."
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","Poczekaj jeszcze troszkę. Czasami dostarczenie e-maila może zostać opóźnione przez procesy, na które nie mamy wpływu."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","Sprawdź folder &#8222;Niechciane&#8221; lub &#8222;Spam&#8221; swojego klienta e-mail. Czasami normalne wiadomości zostają tam przypadkowo umieszczone."
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","Witaj, administratorze witryny! Obecnie pozwalasz na rejestracje na &#8222;%s&#8221;. Aby zmienić ustawienia lub wyłączyć rejestrację, przejdź na swoją <a href=\"%s\">stronę opcji</a>."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","Czy wprowadzono adres e-mail prawidłowo?  Wprowadzono adres %s, jednak jeśli nie jest on prawidłowy, nie otrzymasz tego e-maila."
"We send your registration email to this address. (Double-check your email address before continuing.)","Porejestracyjnego e-maila wyślemy właśnie na ten adres. (Dwukrotnie sprawdź poprawność tego adresu przed przejściem dalej)."
"Search Pages","Szukaj stron"
"Add New Post","Dodaj nowy wpis"
"Parent Page:","Strona nadrzędna:"
"Posts","wpisy"
"Edit Page","Edytuj stronę"
"Search Posts","Szukaj wpisów"
"Add New Page","Dodaj nową stronę"
"Pages","strony"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","Stała <code>VHOST</code> <strong>uznawana jest za przestarzałą</strong>. Zamiast niej możesz użyć w pliku wp-config.php stałej <code>SUBDOMAIN_INSTALL</code>, jeśli chcesz włączyć konfigurację subdomenową. Użyj funkcji is_subdomain_install(), aby sprawdzić, czy konfiguracja ta działa."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Konflikt między wartościami stałych VHOST oraz SUBDOMAIN_INSTALL.</strong> Do określenia, czy użyta ma być konfiguracja subdomenowa czy podkatalogowa, wykorzystana zostanie wartość stałej SUBDOMAIN_INSTALL."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>BŁĄD</strong>: Podana nazwa użytkownika jest nieprawidłowa, ponieważ zawiera niedozwolone znaki. Proszę wprowadzić prawidłową nazwę użytkownika."
"Required fields are marked %s","Pola, których wypełnienie jest wymagane, są oznaczone symbolem %s"
"Please include a %s template in your theme.","Proszę zawrzeć w motywie szablon %s."
"Theme without %s","Motyw nieposiadający %s"
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Nie można odnaleźć witryny <code>%s</code>.</strong> Szukano tabeli <code>%s</code> w bazie danych <code>%s</code>. Czy wszystko się zgadza?"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","Opcja <code>%s</code> jest uznawana za przestarzałą na rzecz rodziny funkcji <code>bloginfo()</code>."
"Use the <code>%s</code> option instead.","Zamiast niej użyj opcji <code>%s</code>."
"Your site&#8217;s WordPress Pages","Strony Twojej witryny oparte na WordPressie"
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Administrator Twojego serwera zablokował funkcję <code>fsockopen</code> lub <code>gethostbynamel</code> PHP.  <strong>Akismet nie może pracować prawidłowo, dopóki nie zostanie to zmienione.</strong>  Proszę skontaktować się z administratorem serwera WWW lub zapory ogniowej i przekazać mu <a href=\"%s\" target=\"_blank\">te informacje o wymaganiach systemowych Akismeta</a>."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Brak tabel w bazie danych.</strong> Ten błąd oznacza, że MySQL nie działa, WordPress nie został prawidłowo zainstalowany lub ktoś usunął <code>%s</code>. Naprawdę dobrze byłoby rzucić teraz okiem na używaną przez WordPressa bazę danych."
"Sorry, you do not have access to user data on this site.","Nie posiadasz uprawnienia do dostępu do danych użytkowników tej witryny."
"Sorry, you are not allowed to post on this site.","Przepraszamy, nie posiadasz uprawnienia do dodawania wpisów na tę witrynę."
"Sorry, you are not allowed to publish posts on this site.","Przepraszamy, nie posiadasz uprawnienia do publikowania wpisów na tej witrynie."
"Sorry, you must be able to edit posts on this site in order to view categories.","Przepraszamy, musisz posiadać uprawnienia do edycji wpisów na tej witrynie, aby móc zobaczyć listę kategorii."
"Sorry, you are not allowed to publish pages on this site.","Przepraszamy, nie posiadasz uprawnienia do publikowania stron na tej witrynie."
"Sorry, that site already exists!","Przepraszamy, istnieje już witryna używająca takiej nazwy!"
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Aby aktywować swój blog, proszę kliknąć poniższy odnośnik:\n\n%s\n\nPo dokonaniu aktywacji otrzymasz *kolejnego e-maila* z danymi do zalogowania się.\n\nPo dokonaniu aktywacji możesz odwiedzić swoją witrynę pod tym adresem:\n\n%s"
"New Site Registration: %s","Rejestracja nowej witryny: %s"
"Sorry, site names may not contain the character &#8220;_&#8221;!","Przepraszamy, nazwy witryn nie mogą zawierać znaku &#8222;_&#8221;!"
"New %s Site: %s","Nowa witryna w sieci %s: %s"
"The site is already active.","Ta witryna została już aktywowana."
"Sorry, you cannot edit posts on this site.","Przepraszamy, nie możesz edytować wpisów na tej witrynie."
"Sorry, you must be able to edit posts to this site in order to view categories.","Przepraszamy, musisz posiadać uprawnienia do edycji wpisów na tej witrynie, aby móc zobaczyć listę kategorii."
"You are not allowed access to details about this site.","Nie posiadasz uprawnienia do dostępu do szczegółów dotyczących tej witryny."
"Could not create site.","Nie można było utworzyć witryny."
"The most recent posts on your site","Najnowsze wpisy na Twojej witrynie"
"A calendar of your site&#8217;s posts","Kalendarz wyświetlający daty dodania wpisów"
"Sorry, site names must have letters too!","Przepraszamy, nazwy witryn muszą składać się także z liter!"
"Sorry, you may not use that site name.","Przepraszamy, użycie tej nazwy witryny nie jest możliwe."
"A monthly archive of your site&#8217;s posts","Archiwum wpisów z Twojej witryny podzielone na miesiące"
"A search form for your site","Formularz wyszukiwania dla Twojej witryny"
"Sorry, that site is reserved!","Przepraszamy, taka nazwa witryny została już zarezerwowana!"
"That site is currently reserved but may be available in a couple days.","Ta nazwa witryny jest w tej chwili zajęta, ale być może zostanie zwolniona w ciągu następnych kilku dni."
"New user registration on your site %s:","Rejestracja nowego użytkownika na Twojej witrynie \"%s\":"
"Site Suspended.","Witryna została zablokowana."
"You are not allowed to moderate comments on this site.","Nie posiadasz uprawnienia do moderacji komentarzy na tej witrynie."
"Sorry, you must be able to edit posts on this site in order to view tags.","Przepraszamy, musisz posiadać uprawnienia do edycji wpisów na tej witrynie, aby móc zobaczyć listę tagów."
"Site Tagline","Slogan witryny"
"Site URL","Adres URL witryny"
"This site has been archived or suspended.","Ta witryna została zarchiwizowana lub zawieszona."
"No site by that name on this system.","Brak witryny o takiej nazwie w tym systemie."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Taka witryna nie istnieje. Proszę spróbować przejść pod adres <a href=\"%s\">%s</a>."
"The site you have requested is not installed properly. Please contact the system administrator.","Witryna, którą próbowano odwiedzić, nie została prawidłowo zainstalowana. Proszę skontaktować się z administratorem systemu."
"No results found.","Nie znaleziono żadnych elementów."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","Nazwa <strong>%s</strong> koliduje z nazwą innego menu. Proszę użyć innej nazwy."
"The given object ID is not that of a menu item.","Podany identyfikator nie jest identyfikatorem elementu menu."
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","Wprowadzony adres e-mail nie wydaje się być prawidłowy. Proszę wprowadzić prawidłowy adres e-mail."
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","Wprowadzony adres WordPressa nie wydaje się być prawidłowym adresem URL. Proszę wprowadzić prawidłowy adres URL."
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","Wprowadzony adres witryny nie wydaje się być prawidłowym adresem URL. Proszę wprowadzić prawidłowy adres URL."
"A term with the name provided already exists with this parent.","Istnieje już termin o takiej nazwie posiadający tego samego rodzica."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Wystąpił błąd podczas dodawania Twojego konta do tej witryny. Powróć na <a href=\"%s\">stronę domową</a>."
"This file is too big. Files must be less than %d KB in size.","Ten plik jest zbyt wielki. Wysyłane pliki muszą być mniejsze niż %d KB."
"number_format_decimal_point",","
"Your email address will not be published.","Twój adres e-mail nie zostanie opublikowany."
"A valid URL was not provided.","Podano nieprawidłowy adres URL."
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","Zalogowano się jako <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Wyloguj się z tego konta\">Wylogować się?</a>"
"Could not calculate resized image dimensions","Nie można było obliczyć wymiarów przeskalowanego obrazka"
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Musi składać się z co najmniej 4 znaków &mdash; wyłącznie liter i cyfr. Nie może zostać zmieniona, więc wybierz rozważnie!"
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","Zanim będzie możliwe utworzenie nowej witryny, musisz się najpierw <a href=\"%s\">zalogować</a>."
"You are logged in already. No need to register again!","Zalogowano się już &mdash; nie ma potrzeby ponownej rejestracji!"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","Jeśli nie chcesz, aby zwracana wartość była wyświetlana, użyj funkcji <code>get_trackback_url()</code>."
"This action has been disabled by the administrator.","Ta funkcja została wyłączona przez użytkownika."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Witaj ponownie, %s. Możesz <strong>dodać kolejną witrynę do swojego konta</strong> poprzez wypełnienie poniższego formularza. Nie istnieje limit ograniczający ilość posiadanych witryn, więc twórz, jak dyktuje Ci serce, ale pisz odpowiedzialnie!"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>Witryna, której szukasz &mdash; <strong>%s</strong> &mdash; nie istnieje, ale możesz ją utworzyć już teraz!</em></p>"
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Przepraszamy, nazwy użytkowników nie mogą zawierać znaku &#8222;_&#8221;!"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em>Witryna, której szukasz &mdash; <strong>%s</strong> &mdash; nie istnieje.</em></p>"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","Jeśli nie otrzymano jeszcze e-maila, oto lista rzeczy, które można zrobić:"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Jeśli nie chcesz, aby zwracana wartość była wyświetlana, użyj funkcji <code>get_the_author()</code>."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Jeśli nadal nie udało Ci się usunąć tego problemu, sprawdź, czy Twoja baza danych zawiera następujące tabele:"
"Enter title here","Wprowadź tytuł w tym miejscu"
"Are you sure you want to install this plugin?","Czy na pewno chcesz zainstalować tę wtyczkę?"
"Use as featured image","Użyj jako ikony wpisu"
"Mismatch","Hasła się różnią"
"Maintenance","Konserwacja"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Witryna jest tymczasowo niedostępna z powodu zaplanowanych prac konserwacyjnych. Zapraszamy ponownie za minutę."
"Navigation Menu Items","Elementy menu nawigacyjnego"
"Navigation Menu Item","Element menu nawigacyjnego"
"Navigation Menus","Nawigacyjne menu"
"Multisite only works without the port number in the URL.","Obsługa wielu witryn działa wyłącznie bez numeru portu w adresie URL."
"Links for %s","Odnośniki do %s"
"Custom","Własny"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","Żadne menu nie zostało jeszcze utworzone. <a href=\"%s\">Utwórz jakieś</a>."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Zamierzasz usunąć to menu na zawsze. \n Kliknij 'Anuluj', aby anulować tę operację, lub 'OK', aby ją sfinalizować."
"This is the short link.","To jest krótki odnośnik."
"%d WordPress Update","%d aktualizacja WordPressa"
"%d Theme Update","%d aktualizacja motywu"
"%d Theme Updates","%d aktualizacje motywów"
"%d Plugin Update","%d aktualizacja wtyczki"
"%d Plugin Updates","%d aktualizacje wtyczek"
"The site %s is yours.","Witryna %s jest Twoja."
"Create Site","Utwórz witrynę"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Jeżeli nie zamierzasz używać witryny w atrakcyjnej domeny, pozostaw ją dla nowego użytkownika. A teraz &mdash; działaj!"
"Sites you are already a member of:","Witryny, których jesteś już członkiem:"
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Ta witryna nie została jeszcze aktywowana. Jeśli masz problem z aktywacją swojej witryny, napisz pod adres <a href=\"mailto:%s\">%s</a>."
"File canceled.","Wysyłanie pliku zostało anulowane."
"Site Title:","Tytuł witryny:"
"Site Domain:","Domena witryny:"
"Site Name:","Nazwa witryny:"
"sitename","nazwawitryny"
"Get <em>another</em> %s site in seconds","Zdobądź <em>kolejną</em> witrynę w sieci %s w ciągu kilku sekund"
"Congratulations! Your new site, %s, is almost ready.","Gratulacje! Twoja nowa witryna, %s, jest już prawie gotowa."
"Site registration has been disabled.","Możliwość rejestracji witryn została wyłączona."
"Gimme a site!","Dajcie mi witrynę!"
"But, before you can start using your site, <strong>you must activate it</strong>.","Zanim zaczniesz używać swojej nowej witryny, <strong>konieczna jest jej aktywacja</strong>."
"If you do not activate your site within two days, you will have to sign up again.","Jeśli nie aktywujesz swojej witryny w ciągu dwóch dni, konieczne będzie dokonanie ponownej jej rejestracji."
"Select Menu:","Wybierz menu:"
"Navigation Menu","Nawigacyjne menu"
"Taxonomy:","Taksonomia:"
"Menus","Menu"
"Software Name","Nazwa oprogramowania"
"Software Version","Wersja oprogramowania"
"Time Zone","Strefa czasowa"
"Allow new users to sign up","Zezwól nowym użytkownikom na rejestrację"
"Sorry, you cannot edit this page.","Przepraszamy, nie możesz edytować tej strony."
"Sorry, no such page.","Przepraszamy, brak takiej strony."
"Sorry, you cannot edit pages.","Przepraszamy, nie możesz edytować stron."
"Sorry, you do not have the right to delete this page.","Przepraszamy, nie posiadasz uprawnienia do usunięcia tej strony."
"Failed to delete the page.","Nie udało się usunąć strony."
"Sorry, you do not have the right to edit this page.","Przepraszamy, nie posiadasz uprawnienia do edycji tej strony."
"Sorry, you do not have the right to add a category.","Przepraszamy, nie posiadasz uprawnienia do dodawania kategorii."
"Sorry, the new category failed.","Przepraszamy, nie udało się dodać nowej kategorii."
"Sorry, you do not have the right to delete a category.","Przepraszamy, nie posiadasz uprawnienia do usuwania kategorii."
"Invalid comment ID.","Nieprawidłowy identyfikator komentarza."
"Sorry, you cannot edit comments.","Przepraszamy, nie możesz edytować komentarzy."
"Invalid comment status.","Nieprawidłowy stan komentarza."
"Sorry, the comment could not be edited. Something wrong happened.","Przepraszamy, komentarz nie mógł zostać zmodyfikowany. Coś poszło nie tak."
"You must be registered to comment","Musisz się zarejestrować, aby móc dodać komentarz"
"Invalid post ID.","Nieprawidłowy identyfikator wpisu."
"Comment author name and email are required","Wprowadzenie podpisu autora i adresu e-mail jest wymagane"
"A valid email address is required","Wymagane jest wprowadzenie prawidłowego adresu e-mail"
"You are not allowed access to details about comments.","Nie posiadasz uprawnienia do dostępu do szczegółów dotyczących komentarzy."
"You are not allowed to update options.","Nie posiadasz uprawnienia do modyfikacji opcji."
"Sorry, you cannot edit this post.","Przepraszamy, nie możesz edytować tego wpisu."
"Either there are no posts, or something went wrong.","Brak wpisów lub coś poszło nie tak."
"Sorry, no such post.","Przepraszamy, brak takiego wpisu."
"Sorry, you do not have the right to publish this post.","Przepraszamy, nie posiadasz uprawnienia do opublikowania tego wpisu."
"You are not allowed to change the post author as this user.","Nie posiadasz uprawnienia do zmiany autora wpisu jako ten użytkownik."
"You are not allowed to change the page author as this user.","Nie posiadasz uprawnienia do zmiany autora strony jako ten użytkownik."
"Sorry, you do not have the right to publish this page.","Przepraszamy, nie posiadasz uprawnienia do opublikowania tej strony."
"Sorry, your entry could not be edited. Something wrong happened.","Przepraszamy, Twój wpis nie mógł zostać zmodyfikowany. Coś poszło nie tak."
"Could not write file %s (%s)","Nie można było zapisać pliku %s (%s)"
"Sorry, you can not edit this post.","Przepraszamy, nie możesz edytować tego wpisu."
"Is there no link to us?","Czy został dodany odnośnik do nas?"
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","Podany docelowy adres URL nie może zostać użyty jako cel, ponieważ nie istnieje lub nie prowadzi do zasobu obsługującego pingbacki."
"The source URL and the target URL cannot both point to the same resource.","Źródłowy adres URL i docelowy adres URL nie mogą wskazywać na ten sam zasób."
"The pingback has already been registered.","Pingback został już zarejestrowany."
"The source URL does not exist.","Źródłowy adres URL nie istnieje."
"We cannot find a title on that page.","Nie udało nam się odnaleźć tytułu tej strony."
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","Źródłowy adres URL nie zawiera odnośnika do docelowego adresu URL, więc nie może on zostać użyty jako źródło."
"Pingback from %s to %s registered. Keep the web talking! :-)","Pingback z %s do %s został zarejestrowany. Niech Sieć przemawia! :-)"
"The specified target URL does not exist.","Podany docelowy adres URL nie istnieje."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","Twoja konfiguracja PHP nie posiada włączonej obsługi rozszerzenia MySQL, która jest wymagana przez WordPressa."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>ERROR</strong>: Zmienna <code>$table_prefix</code> w pliku <code>wp-config.php</code> może składać się jedynie z cyfr, liter i podkreślników."
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Błąd nawiązywania połączenia z bazą danych</h1>\n<p>Oznaczać to może, że nazwa użytkownika i hasło znajdujące się w pliku <code>wp-config.php</code> są nieprawidłowe lub że nie możemy nawiązać połączenia z bazą danych znajdującą się pod adresem <code>%s</code>. Możliwe, że Twój serwer baz danych nie działa.</p>\n<ul>\n\t<li>Czy na pewno wprowadzono prawidłową nazwę użytkownika i hasło?</li>\n\t<li>Czy na pewno wprowadzono prawidłowy adres serwera?</li>\n\t<li>Czy serwer baz danych na pewno działa?</li>\n</ul>\n<p>Jeżeli nie wiesz co oznaczają powyższe terminy możesz skontaktować się z administratorem Twojego serwera. Jeśli nadal potrzebujesz pomocy zawsze możesz odwiedzić <a href='http://pl.forums.wordpress.org/'>forum pomocy WordPressa</a>.</p>\n"
"WordPress database error %s for query %s made by %s","Błąd %s bazy danych WordPressa podczas wykonywania zapytania %s wysłanego przez %s"
"WordPress database error %s for query %s","Błąd %s bazy danych WordPressa podczas wykonywania zapytania %s"
"Cancel reply","Anuluj pisanie odpowiedzi"
"Post Comment","Opublikuj komentarz"
"Unapproved","Odrzucony"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","Wykryto duplikat komentarza: wygląda na to, że już to powiedziano!"
"Could not update comment status","Nie można było zaktualizować stanu komentarza"
"This argument has changed to an array to match the behavior of the other cron functions.","Przyjmowanym argumentem jest teraz tablica, aby ta funkcja zachowywała się tak jak pozostałe związane z cronem."
"Once Hourly","Co godzinę"
"Twice Daily","Dwa razy dziennie"
"Once Daily","Raz dziennie"
"Sort by:","Porządkuj wg:"
"Page title","tytułów stron"
"Page order","kolejności stron"
"Page ID","identyfikatorów stron"
"Exclude:","Pomiń:"
"Page IDs, separated by commas.","Oddzielone przecinkami identyfikatory stron."
"Your blogroll","Twój blogroll"
"Show Link Image","Pokaż obrazek odnośnika"
"Show Link Name","Pokaż nazwę odnośnika"
"Show Link Description","Pokaż opis odnośnika"
"Show Link Rating","Pokaż klasyfikację odnośnika"
"Select Month","Wybierz miesiąc"
"Show post counts","Pokazuj liczbę wpisów"
"Log in/out, admin, feed and WordPress links","Odnośniki do logowania/wylogowywania się, panelu administracji, kanału i strony WordPressa"
"Syndicate this site using RSS 2.0","Subskrybuj tę witrynę poprzez RSS 2.0"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","Kanał <abbr title=\"Really Simple Syndication\">RSS</abbr> z wpisami"
"Calendar","Kalendarz"
